EVTNAME91001; We took the naval blockade; X
torronto_amp;[City] Toronto;
ottava_amp;[City] Ottawa;
monreal_amp;[City] Montreal;
SPA_2209_amp;[City] Havana;
bogota_amp;[City] Bogot?;
balboa_amp;[City] Balboa;
caracas_amp;[City] Caracas;
lima_amp;[City] Lima;
sabara_amp;[City] Sabara;
saopaulo_amp;[City] Sao Paulo;
rio_amp;[City] Rio de Janeiro;
asuncion_amp;[City] Asuncion;
buenosaires_amp;[City] Buenos Aires;
santiago_amp;[City] Santiago;
URU_2344_amp;[City] Montevideo;
ECU_2279_amp;[City] Quito;
stokholm_amp;[City] Stockholm;
malmo_amp;[City] Malm?;
uppsala_amp;[City] Uppsala;
gothenburg_amp;[City] Gothenburg;
vasteras_amp;[City] Westeros;
oslo_amp;[City] Oslo;
trondheim_amp;[City] Trondheim;
bergen_amp;[City] Bergen;
copenhagen_amp;[City] Copenhagen;
arhus_amp;[City] Aarhus;
helsinki_amp;[City] Helsinki;
napel_amp;[City] Naples;
rome_amp;[City] Rome;
florence_amp;[City] Florence;
niece_amp;[City] Nice;
tourin_amp;[City] Turin;
venice_amp;[City] Venice;
milan_amp;[City] Milan;
palemo_amp;[City] Palermo;
bologna_amp;[City] Bologna;
bari_amp;[City] Bari;
padua_amp;[City] Padova;
verona_amp;[City] Verona;
parma_amp;[City] Parma;
modena_amp;[City] Modena;
athens_amp;[City] Athens;
AUS_771_amp;[City] Zagreb;
istambul_amp;[City] Istanbul;
izmir_amp;[City] Izmir;
bursa_amp;[City] Bursa;
adana_amp;[City] Adana;
ankara_amp;[City] Ankara;
aleppo_amp;[City] Aleppo;
damaskus_amp;[City] Damascus;
beirut_amp;[City] Beirut;
jaffa_amp;[City] Jaffa;
baghdad_amp;[City] Baghdad;
kuwait_amp;[City] Kuwait;
iasi_amp;[City] Iasi;
buharest_amp;[City] Bucharest;
belgrade_amp;[City] Belgrade;
TUR_853_amp;[City] Tirana;
sofia_amp;[City] Sofia;
madrid_amp;[City] Madrid;
barselona_amp;[City] Barcelona;
valencia_amp;[City] Valencia;
seville_amp;[City] Seville;
zaragoza_amp;[City] Zaragoza;
lisbon_amp;[City] Lisbon;
porto_amp;[City] Porto;
london_amp;[City] London;
southampton_amp;[City] Southampton;
cardiff_amp;[City] Cardiff;
birmingham_amp;[City] Birmingham;
liverpool_amp;[City] Liverpool;
manchester_amp;[City] Manchester;
leeds_amp;[City] Leeds;
edinburgh_amp;[City] Edinburgh;
dublin_amp;[City] Dublin;
newcastle_amp;[City] Newcastle;
bristol_amp;[City] Bristol;
nottingham_amp;[City] Nottingham;
leicester_amp;[City] Leicester;
glasgow_amp;[City] Glasgow;
melbourne_amp;[City] Melbourne;
sidney_amp;[City] Sydney;
brisben_amp;[City] Brisbane;
welington_amp;[City] Wellington;
dubai_amp;[City] Dubai;
riyadh_amp;[City] Riyadh;
jidda_amp;[City] Jeddah;
paris_amp;[City] Paris;
lille_amp;[City] Lille;
strasbourg_amp;[City] Strasbourg;
bordeaux_amp;[City] Bordeaux;
marseilles_amp;[City] Marseille;
lyon_amp;[City] Lyon;
brest_amp;[City] Brest;
toulouse_amp;[City] Toulouse;
nant_amp;[City] Nantes;
toulon_amp;[City] Toulon;
capetownamp;[City] Cape Town;
durban_amp;[City] Durban;
pretoria_amp;[City] Pretoria;
johannesburg_amp;[City] Johannesburg;
algiers_amp;[City] Algeria;
tunis_amp;[City] Tunisia;
alexandria_amp;[City] Alexandria;
cairo_amp;[City] Cairo;
khartoum_amp;[City] Khartoum;
antwerp_amp;[City] Antwerp;
brussels_amp;[City] Brussels;
liege_amp;[City] Liege;
charleroi_amp;[City] Charleroi;
gent_amp;[City] Ghent;
amsterdam_amp;[City] Amsterdam;
rotterdam_amp;[City] Rotterdam;
utrecht_amp;[City] Utrecht;
eindhoven_amp;[City] Eindhoven;
lugano_amp;[City] Lugano;
zurich_amp;[City] Zurich;
bern_amp;[City] Bern;
geneva_amp;[City] Geneva;
madras_amp;[City] Madras;
bangalore_amp;[City] Bangalore;
bombay_amp;[City] Bombay;
calcutta_amp;[City] Calcutta;
dacca_amp;[City] Dhaka;
dehli_amp;[City] Delhi;
lahore_amp;[City] Lahore;
kaarachi_amp;[City] Karachi;
rangoon_amp;[City] Yangon;
bangkok_amp;[City] Bangkok;
saigon_amp;[City] Saigon;
haiphong_amp;[City] Haiphong;
hanoi_amp;[City] Hanoi;
singapore_amp;[City] Singapore;
kualalumpur_amp;[City] Kuala Lumpur;
medan_amp;[City] Medan;
yoguakarta_amp;[City] Jakarta;
surabaya_amp;[City] Surabay;
AMP_borneo;[City] Brunei;
manila_amp;[City] Manila;
shiraz_amp;[City] Shiraz;
ahvaz_amp;[City] Ahwaz;
isfahan_amp;[City] Isfahan;
teheran_amp;[City] Tehran;
mashhad_amp;[City] Mashhad;
tabriz_amp;[City] Tabrez;
baku_amp;[City] Baku;
tibilisi_amp;[City] Tbilisi;
pyongyang_amp;[City] Pyongyang;
seoul_amp;[City] Seoul;
sapporo_amp;[City] Sapporo;
sendai_amp;[City] Sendai;
tokio_amp;[City] Tokyo;
yokohama_amp;[City] Yokohama;
nagoya_amp;[City] Nagoya;
kyoto_amp;[City] Kyoto;
osaka_amp;[City] Osaka;
kobe_amp;[City] Kobe;
hirosima_amp;[City] Hiroshima;
fukuoka_amp;[City] Fukuoka;
nagasaki_amp;[City] Nagasaki;
canton_amp;[City] Guangzhou;
zjanjiang_amp;[City] Gaozhou;
chengdu_amp;[City] Chengdu;
chongqing_amp;[City] Chongqing;
wuchang_amp;[City] Wuhan;
nanjing_amp;[City] Nanjing;
hangzhou_amp;[City] Hangzhou;
tianjin_amp;[City] Tianjin;
beijing_amp;[City] Beijing;
harbin_amp;[City] Harbin;
taibei_amp;[City] Taipei;
CHI_1496;[City] Hong Kong;
CHI_14960;[City] Macau;
CHI_1481;[City] Port Arthur;
CHI_1566;[City] Qingdao;
CHI_1569;[City] Wei hi-wei;
CHI_1611_2;[City] Ningbo;
CHI_1606;[City] Jiaxing;
CHI_1538;[City] Shanghai;
CHI_1611_3;[City] Shaoxing;
riga_amp;[City] Riga;
vilnus_amp;[City] Vilnius;
tashkent_amp;[City] Tashkent;
bishkek_amp;[City] Bishkek;
almaata_amp;[City] Alma-Ata;
krasnoyarsk_amp;[City] Krasnoyarsk;
omsk_amp;[City] Omsk;
tyumen_amp;[City] Tyumen;
chelyabinsk_amp;[City] Chelyabinsk;
ufa_amp;[City] Ufa;
perm_amp;[City] Perm;
ekaterinburg_amp;[City] Yekaterinburg;
samara_amp;[City] Samara;
kazan_amp;[City] Kazan;
nizhniynovgorod_amp;[City] Nizhny Novgorod;
uralsk_amp;[City] Uralsk;
saratov_amp;[City] Saratov;
tsaritsyn_amp;[City] Tsaritsyn;
rostov_amp;[City] Rostov;
kharkov_amp;[City] Kharkov;
kursk_amp;[City] Kursk;
moscow_amp;[City] Moscow;
ekaterinoslav_amp;[City] Yekaterinoslav;
odessa_amp;[City] Odessa;
kiev_amp;[City] Kiev;
minsk_amp;[City] Minsk;
warshaw_amp;[City] Warsaw;
smolensk_amp;[City] Smolensk;
petersburg_amp;[City] St. Petersburg;
khabarovsk_amp;[City] Khabarovsk;
vladivostok_amp;[City] Vladivostok;
petropavlovsk_amp;[City] Petropavlovsk;
irkutsk_amp;[City] Irkutsk;
budapest_amp;[City] Budapest;
debrecen_amp;[City] Debrecen;
szeged_amp;[City] Szeged;
bratislava_amp;[City] Bratislava;
vienna_amp;[City] Vienna;
linz_amp;[City] Linz;
graz_amp;[City] Graz;
salzburg_amp;[City] Salzburg;
prague_amp;[City] Prague;
brno_amp;[City] Brno;
troppau_amp;[City] Troppau;
lwow_amp;[City] Lviv;
krakow_amp;[City] Krakow;
danzig_amp;[City] Danzig;
breslau_amp;[City] Breslau;
stettin_amp;[City] Stettin;
konigsberg_amp;[City] Koenigsberg;
berlin_amp;[City] Berlin;
dresden_amp;[City] Dresden;
leipzig_amp;[City] Leipzig;
munich_amp;[City] Munich;
stuttgart_amp;[City] Stuttgart;
frankfurt_amp;[City] Frankfurt;
cologne_amp;[City] Cologne;
dusseldorf_amp;[City] Dusseldorf;
dortmund_amp;[City] Dortmund;
hanover_amp;[City] Hanover;
hamburg_amp;[City] Hamburg;
bremen_amp;[City] Bremen;
nurnberg_amp;[City] Nuremberg;
aachen_amp;[City] Aachen;
wiesbaden_amp;[City] Wiesbaden;
mainz_amp;[City] Mainz;
karlsruhe_amp;[City] Karlsruhe;
mannheim_amp;[City] Manheim;
halle_amp;[City] Galle;
magdeburg_amp;[City] Magdeburg;
kiel_amp;[City] Kiel;
chemnitz_amp;[City] Chemnitz;
brunswick_amp;[City] Braunschweig;
lubeck_amp;[City] Lubeck;
sahalinsk_amp;[City] Yuzhno-Sakhalinsk;
gain_state_burgyndy_all;Capture Region - Cyprus (4);
gain_state_burgyndy_all_short;Capture Cyprus Region (4);
gain_state_burgyndy_all_setup_all;Capture the region of Cyprus from the power of $ RECIPIENT $.;
gain_state_burgyndy_all;Capture Region - Crete (4);
gain_state_burgyndy_all_short;Capture Crete Region (4);
gain_state_burgyndy_all_setup_all;Capture the Crete region from the power of $ RECIPIENT $.;
gain_state_austrianitaly_all;Region Capture - Austrian Italy (12);
gain_state_austrianitaly_all_short;Capture Austrian Italy Region (12);
gain_state_austrianitaly_all_setup_all;Capture the region of Austrian Italy from the power of $ RECIPIENT $.;
gain_state_elsas_all;Region Capture - Alsace (6);
gain_state_elsas_all_short;Capture Alsace region (6);
gain_state_elsas_all_setup_all;Capture the Alsace region from the power of $ RECIPIENT $.;
gain_state_savoia_all;Capture the region of Savoy, Nice and Corsica (6);
gain_state_savoia_all_short;Capture Savoy, Nice and Corsica region (6);
gain_state_savoia_all_setup_all;Capture the region of Savoy, Nice and Corsica from the power of $ RECIPIENT $.;
annex_zigmaringen;Region Capture - Sigmarinen (4);
annex_zigmaringen_short;Capture Sigmaringen Region (4);
annex_zigmaringen_setup_all;Capture the Sigmaringen region from the power of $ RECIPIENT $.;
annex_suez;Capture the region - Suez (6);
annex_suez_short;Capture Suez region (6);
annex_suez_setup_all;Capture the Suez region from the power of $ RECIPIENT $.;
annex_gibraltar;Capture Region - Gibraltar (6);
annex_gibraltar_short;Capture Gibraltar Region (6);
annex_gibraltar_setup_all;Capture the region of Gibraltar from the power of $ RECIPIENT $.;
annex_panama;Capture Region - Panama (6);
annex_panama_short;Capture Panama Region (6);
annex_panama_setup_all;Capture the Panama region from the power of $ RECIPIENT $.;
gain_state_serbia_all;Region Capture - Serbia (16);
gain_state_serbia_all_short;Capture region of Serbia (16);
gain_state_serbia_all_setup_all;Capture the region of Serbia from the power of $ RECIPIENT $.;
gain_state_northserbia_all;Region Capture - Northern Serbia (12);
gain_state_northserbia_all_short;Capture Region Northern Serbia (12);
gain_state_northserbia_all_setup_all;Capture the region of Northern Serbia from the power of $ RECIPIENT $.;
gain_state_yugoslavia_all;Capture the Region - Yugoslavia (24);
gain_state_yugoslavia_all_short;Capture Yugoslavia region (24);
gain_state_yugoslavia_all_setup_all;Capture the Yugoslav region from the power of $ RECIPIENT $.;
gain_state_northyugoslavia_all;Region Capture - Northern Yugoslavia (12);
gain_state_northyugoslavia_all_short;Capture North Yugoslavia region (12);
gain_state_northyugoslavia_all_setup_all;Capture the region of North Yugoslavia from the power of $ RECIPIENT $.;
gain_state_southyugoslavia_all;Region Capture - South Yugoslavia (12);
gain_state_southyugoslavia_all_short;Capture South Yugoslavia region (12);
gain_state_southyugoslavia_all_setup_all;Capture the region of South Yugoslavia from the power of $ RECIPIENT $.;
gain_state_westyugoslavia_all;Capture the Region - Western Yugoslavia (12);
gain_state_westyugoslavia_all_short;Capture West Yugoslavia region (12);
gain_state_westyugoslavia_all_setup_all;Capture the region of Western Yugoslavia from the power of $ RECIPIENT $.;
gain_state_centralyugoslavia_all;Region Capture - Central Yugoslavia (12);
gain_state_centralyugoslavia_all_short;Capture Central Yugoslavia region (12);
gain_state_centralyugoslavia_all_setup_all;Capture the Central Yugoslav region from the power of $ RECIPIENT $.;
gain_state_belgium_all;Region Capture -Belgium (12);
gain_state_liege_all;Region Capture -Liege (6);
gain_state_liege_all_short;Capture Liege region (6);
gain_state_liege_all_setup_all;Capture the region of Liege  from the power of $RECIPIENT$.;
gain_state_wallonia_all;Region Capture -Wallonia (6);
gain_state_wallonia_all_short;Capture Wallonia region (6);
gain_state_wallonia_all_setup_all;Capture the region of Wallonia from the power of $RECIPIENT$.;
gain_state_brussels_all;Region Capture -Brussels (6);
gain_state_brussels_all_short;Capture Brussels region(6);
gain_state_brussels_all_setup_all;Capture the region of Brussels from the power of $RECIPIENT$.;
gain_state_netherlands_all;Region Capture -Netherlands (12);
gain_state_netherlands_all_short;Capture Netherlands region(12);
gain_state_netherlands_all_setup_all;Capture the region of Netherlands from the power of $RECIPIENT$.;
gain_state_bosnia_all;Region Capture -Bosnia (6);
gain_state_bosnia_all_short;Capture Bosnia region(6);
gain_state_bosnia_all_setup_all;Capture the region of Bosnia from the power of $RECIPIENT$.;
gain_state_transcaucassian_all;Region Capture -Caucassian (8);
gain_state_transcaucassian_all_short;Capture Caucassian region (8);
gain_state_transcaucassian_all_setup_all;Capture the region of Caucassian from the power of $RECIPIENT$.;
gain_state_southindia_all;Region Capture -South India (12);
gain_state_southindia_all_short;Capture South India region (12);
gain_state_southindia_all_setup_all;Capture the region of South India from the power of $RECIPIENT$.;
gain_state_northiran_all;Region Capture -North Iran (6);
gain_state_northiran_all_short;Capture North Iran region (6);
gain_state_northiran_all_setup_all;Capture the region of North Iran from the power of $RECIPIENT$.;
gain_state_southiran_all;Region Capture -South Iran (6);
gain_state_southiran_all_short;Capture South Iran region(6);
gain_state_southiran_all_setup_all;Capture the region of South Iran from the power of $RECIPIENT$.;
gain_state_croatia_all;Region Capture  — Croatia (10);
gain_state_croatia_all_short;Capture Croatia region (10);
gain_state_croatia_all_setup_all;Capture the region of Croatia from the power of $RECIPIENT$.;
gain_state_slovenia_all;Region Capture — Slovenia (6);
gain_state_slovenia_all_short;Capture Slovenia region (6);
gain_state_slovenia_all_setup_all;Capture the region of Slovenia from the power of $RECIPIENT$.;
AMP_alaska_state;Alaska;
AMP_brussels;Brussels;
AMP_wallonia;Wallonia;
AMP_liege;Liege;
AMP_burgundy;Burgundy;
AMP_britishindia;Britishindia;
AMP_burgyndy;Burgyndy;
AMP_northserbia;Northserbia;
AMP_southyugoslavia;South Yugoslavia;
AMP_northyugoslavia;North Yugoslavia;
AMP_westyugoslavia;West Yugoslavia;
AMP_centralyugoslavia;Central Yugoslavia;
AMP_eastindia;East India;
AMP_southindia;South India;
AMP_northiran;North Iran;
AMP_southiran;South Iran;
AMP_centralsiberia;Central Siberia;
AMP_southafricaeng;South Africa;
AMP_china;China;
AMP_russia;Russia;
AMP_russianempire;Russian empire;
AMP_northafrica;North Africa;
AMP_austrianitaly;Austrian Italy;
AMP_elsas;Elsas;
AMP_savoia;Savoia, Nice and Corsica;
AMP_zigmaringen;Zigmaringen;
AMP_suez;Suez;
AMP_panama;Panama;
AMP_gibraltar;Gibraltar;
factory_input_focus;Factory consumption;
factory_output_focus;Factory Issue;
factory_throughput_focus;Factory productivity;
RGO_output_focus;RGO_output_focus;
RGO_throughput_focus;RGO_throughput_focus;
country_debt;the maximum government debt;
debt_5;Debt amount: 5%;
debt_10;Debt amount: 10%;
debt_25;Debt amount:  25%;
debt_50;Debt amount: 50%;
debt_75;Debt amount:  75%;
debt_100;Debt amount: 100%;
country_intrest;The percent of the government debt;
intrest_15peryear;The debt percentage: 15%;
intrest_20peryear;The debt percentage: 20%;
intrest_25peryear;The debt percentage: 25%;
intrest_30peryear;The debt percentage: 30%;
intrest_35peryear;The debt percentage: 35%;
intrest_40peryear;The debt percentage: 40%;
intrest_45peryear;The debt percentage: 45%;
army_doctrine_3;Infantry 1925;
army_doctrine_4;Infantry 1940;
army_doctrine_5;Infantry 1955;
army_doctrine_6;Infantry 1970;
light_armament_3;Motorized infantry;
light_armament_4;Mobile units 1940;
light_armament_5;Mobile units 1955;
light_armament_6;Mobile units 1970;
heavy_armament_3;Tanks;
heavy_armament_4;Artillery 1940;
heavy_armament_5;Artillery 1955;
heavy_armament_6;Artillery 1970;
military_science_3;Infrastructure 1925;
military_science_4;Infrastructure 1940;
military_science_5;Infrastructure 1955;
military_science_6;Infrastructure 1970;
army_leadership_3;Applied science 1925;
army_leadership_4;Applied science 1940;
army_leadership_5;Applied science 1955;
army_leadership_6;Applied science 1970;
naval_doctrine_3;Logistics 1925;
naval_doctrine_4;Logistics 1940;
naval_doctrine_5;Logistics 1955;
naval_doctrine_6;Logistics 1970;
ship_construction_3;Organization 1925;
ship_construction_4;Organization 1940;
ship_construction_5;Organization 1955;
ship_construction_6;Organization 1970;
naval_engineering_3;Applied psychology 1925;
naval_engineering_4;Applied psychology 1940;
naval_engineering_5;Applied psychology 1955;
naval_engineering_6;Applied psychology 1970;
naval_science_3;Preparation 1925;
naval_science_4;Preparation 1940;
naval_science_5;Preparation 1955;
naval_science_6;Preparation 1970;
naval_leadership_3;Interaction 1925;
naval_leadership_4;Interaction 1940;
naval_leadership_5;Interaction 1955;
naval_leadership_6;Interaction 1970;
financial_institutions_3;Cost management 1925;
financial_institutions_4;Cost management 1940;
financial_institutions_5;Cost management 1955;
financial_institutions_6;Cost management 1970;
monetary_system_3;Money system 1925;
monetary_system_4;Money system 1940;
monetary_system_5;Money system 1955;
monetary_system_6;Money system1970;
economic_thought_and_critique_3;Economic thought 1925;
economic_thought_and_critique_4;Economic thought 1940;
economic_thought_and_critique_5;Economic thought 1955;
economic_thought_and_critique_6;Economic thought 1970;
market_functionality_3;Market functionality 1925;
market_functionality_4;Market functionality 1940;
market_functionality_5;Market functionality 1955;
market_functionality_6;Market functionality 1970;
tech_organization_3;Organization 1925;
tech_organization_4;Organization 1940;
tech_organization_5;Organization 1955;
tech_organization_6;Organization 1970;
aesthetics_3;Aesthetics 1925;
aesthetics_4;Aesthetics 1940;
aesthetics_5;Aesthetics 1955;
aesthetics_6;Aesthetics 1970;
philosophy_3;Philosophy 1925;
philosophy_4;Philosophy 1940;
philosophy_5;Philosophy 1955;
philosophy_6;Philosophy 1970;
social_thought_3;Society 1925;
social_thought_4;Society 1940;
social_thought_5;Society 1955;
social_thought_6;Society 1970;
political_thought_3;Politics 1925;
political_thought_4;Politics 1940;
political_thought_5;Politics 1955;
political_thought_6;Politics 1970;
psychology_3;Psychology 1925;
psychology_4;Psychology 1940;
psychology_5;Psychology 1955;
psychology_6;Psychology 1970;
tech_power_1;Power 1865;
tech_power_2;Power 1910;
tech_power_3;Power 1925;
tech_power_4;Power 1940;
tech_power_5;Power 1955;
tech_power_6;Power 1970;
mechanization_1;Mechanization 1865;
mechanization_2;Mechanization 1910;
mechanization_3;Mechanization 1925;
mechanization_4;Mechanization 1940;
mechanization_5;Mechanization 1955;
mechanization_6;Mechanization 1970;
metallurgy_1;Metallurgy 1865;
metallurgy_2;Metallurgy 1895;
metallurgy_3;Metallurgy 1925;
metallurgy_4;Metallurgy 1940;
metallurgy_5;Metallurgy 1955;
metallurgy_6;Metallurgy 1970;
tech_infrastructure_3;Infrastructure 1925;
tech_infrastructure_4;Infrastructure 1940;
tech_infrastructure_5;Infrastructure 1955;
tech_infrastructure_6;Infrastructure 1970;
chemistry_and_electricity_3;Chemistry 1925;
chemistry_and_electricity_4;Chemistry 1940;
chemistry_and_electricity_5;Chemistry 1955;
chemistry_and_electricity_6;Chemistry 1970;
amp_annexcb_expand;Expand annexation area (0);
amp_annexcb_expand_desc;If in the current war a CB was added to the annexation of a region that is controlled by several countries, using this CB you can expand the effect of the original CB on the desired countries for free;
amp_annexcb_expand_short;Extension of the area of annexation set by CB to power $RECIPIENT$ (0);
amp_annexcb_expand_setup;To expand the area of annexation of established design bureaus to a power $RECIPIENT$;
annex_trade_company;To join concession (12);
annex_trade_company_desc;Full accession of the entire territory of the enemy concession to your concession;
annex_trade_company_short;Accession power concession  $RECIPIENT$ (12);
annex_trade_company_setup;To join power concession $RECIPIENT$;
reparations;Reparations (6);
gain_state_india;Region Capture — India (4);
gain_state_belgium_all_short;Capture Belgium region  (12);
gain_state_belgium_all_setup_all;Capture the region of  Belgium from the power of $RECIPIENT$.;
gain_state_eastindia_all;Region Capture — East India (12);
gain_state_eastindia_all_short;Capture East India region(12);
gain_state_eastindia_all_setup_all;Capture the region of East India from the power of  $RECIPIENT$.;
gain_state_indonesia_all;Region Capture —  Indonesia (18);
gain_state_indonesia_all_short;Capture Indonesia region (18);
gain_state_indonesia_all_setup_all;Capture the region of  Indonesia from the power of  $RECIPIENT$.;
LAF_one_party_socialist_republic;South American Socialist Workers Union;
LAF_socialist_republic;South American Federation;
CHB;British concession;
CHG;German concession;
CHR;Russian concession;
CHF;French concession;
CHH;Austrian concession;
CHU;American concession;
CHJ;Japanese concession;
CIH;Italian concession;
CHS;Spanish concession;
ANG;Angola;
BEN;Benin;
BST;Bostwana;
BRN;Burundi;
BRF;Burkina Faso;
CAR;Central African Republic;
CGO;Congo;
CNG;Democratic Republic of the Congo;
CHD;Chad;
CMR;Cameroon;
CPV;Capo verde;
EQG;Equatorial Guinea;
GAB;Gabon;
GBS;Guinea Barsu;
GNE;Guinea;
GHN;Ghana;
IVC;Cote D Yvoire;
KNY;Kenya;
MLW;Malawi;
MOZ;Mozambique;
MAL;Mali;
MAR;Mauritania;
NAM;Nambia;
NIG;Niger;
NGR;Nigeria;
RWA;Rwanda;
SLE;Sierra leone;
SNG;Senegal;
SML;Somalia;
SDN;Sudan;
TNZ;Tanzania;
TOG;Togo;
UGD;Uganda;
ZAM;Zambia;
ZMB;Zimbabwe;
colonial_company;Colonial company;
SPA_absolute_monarchy ;Spanish empire;
SPA_one_party_socialist_republic;Iberian Federation of Workers;
BAV_one_party_socialist_republic;Bavarian Soviet Republic;
ITA_absolute_monarchy;Kingdom of Italy;
ITA_one_party_socialist_republic;Italian Union;
ITA_socialist_republic;People's Republic of Italy;
ITA_democracy;Italian Republic;
BAV_proletarian_dictatorship;Bavarian Soviet Republic;
KOR_democracy;The Republic of Korea;
KOR_proletarian_dictatorship;DPRK;
KOR_one_party_socialist_republic;DPRK;
KOR_socialist_republic;Republic of Korea;
PRU_socialist_republic;Prussian People's Republic;
TUR_socialist_republic;Turkish People's Republic;
TUR_one_party_socialist_republic;Turkish People's Republic;
ENG_socialist_republic;British federation;
ENG_one_party_socialist_republic;BSFSR;
ENG_hms_government;Great Britain;
SWI_bourgeois_dictatorship;Helvetic Republic;
JAP_one_party_socialist_republic;People's Republic of Japan;
JAP_socialist_republic;Republic of Japan;
GER_one_party_socialist_republic;German Democratic Republic;
GER_proletarian_dictatorship;German Soviet Republic;
GER_socialist_republic;Germany;
GER_bourgeois_dictatorship;Revolutionary Germany;
KUK_socialist_republic;Danube Federation;
KUK_democracy;Danube Federation;
KUK_proletarian_dictatorship;Danube Workers' Union;
KUK_one_party_socialist_republic;Danube People's Union;
NET_one_party_socialist_republic;Union Benelux;
NET_fascist_dictatorship;Netherlands;
NET_proletarian_dictatorship;NNSB;
SCA_fascist_dictatorship;Northern Kingdom;
SCA_absolute_monarchy;Scandinavian empire;
BUR_democracy;Myanmar;
BUR_one_party_socialist_republic;Union of Burma;
BUR_fascist_dictatorship;Myanmar;
SCA_socialist_republic;Socialist Scandinavia;
CAM_one_party_socialist_republic;Republic of Kampuchea;
CAM_socialist_republic;Khmer Cambodia;
MEX_absolute_monarchy;Mexican Empire;
MEX_fascist_dictatorship;New Aztec Empire;
SIA_fascist_dictatorship;Indochina;
ETH_prussian_constitutionalism;Ethiopian Empire;
SIA_one_party_socialist_republic;Socialist Republic of Thailand;
ETH_hms_government;Ethiopia;
ETH_absolute_monarchy;Ethiopia;
MOL_one_party_socialist_republic;Moldavian People's Republic;
WAL_one_party_socialist_republic;Wallachian Communes;
SER_fascist_dictatorship;United Serbia;
SER_one_party_socialist_republic;Serbian People's Republic;
ETH_proletarian_dictatorship;Workers 'and Peasants' State of Ethiopia;
SER_democracy;Serbian Republic;
ETH_fascist_dictatorship;Empire of the Red Sea;
ETH_one_party_socialist_republic;Ethiopian Democratic Republic;
PAP_democracy;Rome;
PAP_fascist_dictatorship;Kingdom of god;
PAP_one_party_socialist_republic;Roman Socialist Republic;
PAP_socialist_republic;Roman Socialist Republic;
PAP_proletarian_dictatorship;Workers' Union of Rome;
SIA_proletarian_dictatorship;Thai Proletarian Union;
SIA_socialist_republic;Socialist Republic of Thailand;
SIA_democracy;Republic of thailand;
SIA_hms_government;Thailand;
MEX_hms_government;Kingdom of Mexico;
MEX_presidential_dictatorship;Mexican United States;
MEX_bourgeois_dictatorship;Mexican United States;
MEX_proletarian_dictatorship;Soviet Republic of Mexico;
MEX_one_party_socialist_republic;Mexican Soviet Republic;
SIC_democracy;Republic of Naples;
SIC_socialist_republic;Sicilian Republic;
SIC_proletarian_dictatorship;Red Edge;
BRA_absolute_monarchy;Brazilian Empire;
BRA_fascist_dictatorship;New Brazil;
BRA_hms_government;Kingdom of Brazil;
SCA_one_party_socialist_republic;Union of Northern Peoples;
BRA_one_party_socialist_republic;Brazilian Syndicalist Republic;
CHI_one_party_socialist_republic;People's Republic of China;
SWE_one_party_socialist_republic;Swedish Socialist Republic;
PER_one_party_socialist_republic;Iranian People's Republic;
RUS_democracy;Russian Republic;
RUS_hms_government;Russia;
USA_hms_government;United Kingdom of America;
DAI_fascist_dictatorship;Vietnamese empire;
DAI_one_party_socialist_republic;Wed Vietnam;
DAI_democracy;Vietnam;
DAI_proletarian_dictatorship;Red vietnam;
USA_proletarian_dictatorship;Soviet States of America;
ROM_prussian_constitutionalism;Kingdom of Romania;
ROM_hms_government;Kingdom of Romania;
USA_one_party_socialist_republic;Socialist States of America;
RUS_bourgeois_dictatorship;Bourgeois Russia;
FIN_fascist_dictatorship;Greater Finland;
FIN_one_party_socialist_republic;Finnish People's Republic;
FIN_hms_government;Kingdom of Finland;
RUS_fascist_dictatorship;Holy Russian Empire;
RUS_socialist_republic;Russian Socialist Republic;
RUS_presidential_dictatorship;Russian Federation;
RUS_one_party_socialist_republic;Soviet Union;
RUS_proletarian_dictatorship;RSFSR;
ROM_proletarian_dictatorship;Bolshevik Romania;
ROM_one_party_socialist_republic;Socialist Republic of Romania;
ROM_socialist_republic;Socialist Republic of Romania;
PER_socialist_republic;Working Republic of Iran;
PER_democracy;Islamic Republic of Iran;
PER_hms_government;Kingdom of Iran;
SWE_hms_government;Kingdom of Sweden;
KAZ_proletarian_dictatorship;Kazakhstan Soviet Republic;
KAZ_one_party_socialist_republic;Kazakhstan Soviet Republic;
KAZ_presidential_dictatorship;Nur-Sultan;
KAZ_socialist_republic;Kazakhstan;
KAZ_democracy;Kazakhstan;
ALS;Alsace-Lorraine;
SYR;Syria;
AUS_fascist_dictatorship;Austria;
AUS_bourgeois_dictatorship;Revolutionary Austria;
AUS_one_party_socialist_republic;Austrian People's Republic;
AUS_socialist_republic;Austrian republic;
AUS_democracy;Austria;
government_democracy;Democracy;
government_hms_government;A constitutional monarchy;
government_prussian_constitutionalism;Limited monarchy;
government_absolute_monarchy;Absolute monarchy;
government_fascist_dictatorship;Fascism;
government_bourgeois_dictatorship;Plutocracy;
government_presidential_dictatorship;Dictatorship;
government_proletarian_dictatorship;Communism;
badboy_1;Diplomatic freedom 1;
badboy_2;Diplomatic Freedom 2;
badboy_3;Diplomatic Freedom 3;
Arising_Prussia;The heyday of Prussia;
Autumn;Fall;
Summer;Summer;
Spring;Spring;
Winter1;Winter;
Winter;Winter;
literacy_0;Literacy 0%;
literacy_10;Literacy 10%;
literacy_20;Literacy 20%;
literacy_30;Literacy 30%;
literacy_40;Literacy 40%;
